Measure,ReportingPeriodEndDate,AccommodationStatusCode,Number of Patients
Total number of people in contact with adult mental health services,31/01/2018,HM06,284
Total number of people in contact with adult mental health services,28/02/2018,HM06,281
Total number of people in contact with adult mental health services,31/03/2018,HM06,281
Total number of people in contact with adult mental health services,31/05/2018,HM06,276
Total number of people in contact with adult mental health services,31/07/2018,HM06,290
Total number of people in contact with adult mental health services,31/08/2018,HM06,296
Total number of people in contact with adult mental health services,30/09/2018,HM06,300
Total number of people in contact with adult mental health services,31/10/2018,HM06,299
Total number of people in contact with adult mental health services,30/11/2018,HM06,296
Total number of people in contact with adult mental health services,31/12/2018,HM06,305
Total number of people in contact with adult mental health services,31/01/2019,HM06,299
Total number of people in contact with adult mental health services,28/02/2019,HM06,308
Total number of people in contact with adult mental health services,31/03/2019,HM06,303
Total number of people in contact with adult mental health services,30/04/2019,HM06,311
Total number of people in contact with adult mental health services,31/05/2019,HM06,325
Total number of people in contact with adult mental health services,30/06/2019,HM06,328
Total number of people in contact with adult mental health services,31/07/2019,HM06,404
Total number of people in contact with adult mental health services,31/08/2019,HM06,405
Total number of people in contact with adult mental health services,30/09/2019,HM06,383
Total number of people in contact with adult mental health services,31/10/2019,HM06,417
Total number of people in contact with adult mental health services,30/11/2019,HM06,421
Total number of people in contact with adult mental health services,31/12/2019,HM06,400
Total number of people in contact with adult mental health services,31/01/2020,HM06,410
Total number of people in contact with adult mental health services,29/02/2020,HM06,419
Total number of people in contact with adult mental health services,31/03/2020,HM06,407
Total number of people in contact with adult mental health services,30/04/2020,HM06,386
Total number of people in contact with adult mental health services,31/05/2020,HM06,403
Total number of people in contact with adult mental health services,30/06/2020,HM06,401
Total number of people in contact with adult mental health services,31/07/2020,HM06,396
Total number of people in contact with adult mental health services,31/08/2020,HM06,405
Total number of people in contact with adult mental health services,30/09/2020,HM06,396
Total number of people in contact with adult mental health services,31/10/2020,HM06,387
Total number of people in contact with adult mental health services,30/11/2020,HM06,382
Total number of people in contact with adult mental health services,31/12/2020,HM06,402
Total number of people in contact with adult mental health services,31/01/2021,HM06,407
Total number of people in contact with adult mental health services,31/01/2018,HM07,9
Total number of people in contact with adult mental health services,28/02/2018,HM07,8
Total number of people in contact with adult mental health services,31/03/2018,HM07,11
Total number of people in contact with adult mental health services,31/05/2018,HM07,7
